id,name,categ_id/id,type,purchase_ok,sale_ok,invoice_policy
init.707688af-bab8-41ae-8d4e-a64f83e9411a,H. Pylori (Selles),product.categ_services_lab_test_orders,service,FALSE,TRUE,Ordered quantities
init.916755e9-b121-4565-8e63-8c187a06a204,Human Chorionic Gonadotrophin,product.categ_services_lab_test_orders,service,FALSE,TRUE,Ordered quantities
init.a9d907d9-92d2-4453-8dc5-d32bf7f25324,Anti-strepyolysine O (coded),product.categ_services_lab_test_orders,service,FALSE,TRUE,Ordered quantities
init.ee37c9bd-ee01-4292-b1ff-ac5ee62ebe80,C Reactive Protein (coded),product.categ_services_lab_test_orders,service,FALSE,TRUE,Ordered quantities
